title,link,abstract,sdgs,full_abstract,sdg_1,sdg_2,sdg_3,sdg_4,sdg_5,sdg_6,sdg_7,sdg_8,sdg_9,sdg_10,sdg_11,sdg_12,sdg_13,sdg_14,sdg_15,sdg_16
"Effects of Arctic commercial shipping on environments and communities: context, governance, priorities",/articles/effects-arctic-commercial-shipping-environments-and-communities-context-governance,"Discusses international coordination and governance frameworks to protect the Arctic environment from damage from shipping.
",Goal 14: Life below water; Goal 13: Climate action,"Increasing shipping traffic in the Arctic Ocean creates an emerging need to understand the consequences of maritime operations on the Arctic environment and coastal Indigenous and non-Indigenous communities, as well as potential governance responses. To address this need, we examine recent shipping trends and assess their impact on Arctic environments and communities. Our arguments are novel, and are built around contemporary empirical investigations and published scientific studies, reports, and government documents. The paper concludes that the environmental and community impacts vary across the Arctic and that greater international coordination is needed to learn from experience, to share assets and capacities, and to guide responsible and sustainable development of Arctic shipping. Given the possibility for opening of the Transpolar Sea Route within the coming decades, further proactive steps, such as developing a governance framework, could help Arctic shipping avoid rather than attempt to correct problems.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Conservation for sustaining livelihoods: Adaptive co-management of fish no-take zones in the Mekong River,/articles/conservation-sustaining-livelihoods-adaptive-co-management-fish-no-take-zones-mekong-river,"A critical reflection on fisheries conservation in the Mekong River is offered here. Adaptive co-management helped balance conservation and livelihood outcomes. No-take zones facilitated basic fish conservation measures led by local fishermen. Fishermen perceiving livelihood benefits of conservation supported no-take zones. Long-term mechanisms to support community-led conservation initiatives are needed.
",Goal 12: Responsible consumption and production; Goal 14: Life below water,"A major challenge in natural resource management in developing countries is to pursue conservation objectives while avoiding negative impacts on local livelihoods. Inland capture fisheries provide opportunities to demonstrate an integration of conservation and livelihood objectives when managed as a social-ecological system. While numerous marine no-take reserves have been found effective for the recovery of fisheries, few well-documented examples exist in the freshwater realm. Research gaps also remain in the role of co-management in balancing various management objectives and resolving conflicts. This paper offers critical reflection on adaptive co-management of fish conservation zones (FCZs) in the Mekong River in Cambodia and its social-ecological outcomes as perceived by local stakeholders. The management approach was found generally effective for the local stakeholders to negotiate between conservation and livelihood objectives at key stages of the implementation, and resolve conflicts; however, the lessons learned were not uniform across all sites. The degree of difficulty in conflict resolution was mainly a function of the fishing dependency of local communities on the protected site, the prevalence of severe poverty in adjacent villages, and the availability of livelihood options other than fishing. Growing stakeholder perception over time, of the FCZs as yielding positive outcomes—for both conservation and livelihood—motivated the local communities to create more FCZs. We argue clear recognition by local stakeholders of the achievements and the fairness in the FCZ management, facilitated through participatory approaches, can improve their acceptance of conservation rules and enhance their effectiveness. However, long-term mechanisms to support these community initiatives technically and financially are needed. Simple yet scientifically robust approaches for tropical freshwater fisheries monitoring, including periodical assessments of indicator species, are also needed to facilitate performance evaluation of specific management measures locally.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Hydrogen: The Time has Come,/articles/hydrogen-time-has-come,"As the world scrambles to reach net-zero emissions by 2050, hydrogen has emerged as a potential silver bullet to help mitigate climate change. Hydrogen has been in consideration as a potential aid to decarbonization for over 50 years. However, it is only now that it has gained traction in government strategies, business plans, and the media. But what makes the attention given to hydrogen in the 2020s different from the 1970s? This article relates to SDGs 7 and 13.

",Goal 7: Affordable and clean energy; Goal 13: Climate action,"As the world scrambles to reach net-zero emissions by 2050, hydrogen has emerged as a potential silver bullet to help mitigate climate change. Hydrogen has been in consideration as a potential aid to decarbonization for over 50 years. However, it is only now that it has gained traction in government strategies, business plans, and the media. But what makes the attention given to hydrogen in the 2020s different from the 1970s?",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
The RX Sustainability Playbook,/articles/rx-sustainability-playbook,"RX, a RELX business, has published the RX Sustainability Playbook to support event and operations teams in making more sustainable choices when planning conferences and events. This resource is useful for anyone looking reduce the carbon footprint and waste in their events and is related to SDGs 12 and 13.",Goal 12: Responsible consumption and production; Goal 13: Climate action,"Later this year, RX will publish our Pathway to Net Zero, setting out our carbon reduction strategy to achieve net zero by 2040, with key milestones for all our shows. As a first step, we have developed a new carbon reduction toolkit or ‘Playbook’ to support all of our event and operations teams in making more sustainable choices – be it through switching to digital catalogues, using sustainable badges and lanyards, recycling waste within the local community, or any number of other transformative opportunities.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Implementing the E of ESG: why in-house lawyers are instrumental,/articles/implementing-e-esg-why-house-lawyers-are-instrumental,"Climate change is no longer just an issue for ESG specialists - it affects everyone. In today's world, the legal community has a crucial role to play in driving the climate change agenda forward. This article is based on ten interviews with over 10 influential General and Legal Counsels to understand the crucial role that legal teams can play in driving the environmental agenda forward, and is related to SDGs 13 and 16.","Goal 13: Climate action; Goal 16: Peace, justice and strong institutions","Climate change is no longer just an issue for ESG specialists - it affects everyone. In today's world, the legal community has a crucial role to play in driving the climate change agenda forward. ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
A tide of change: What we can learn from stories of marine conservation success,/articles/tide-change-what-we-can-learn-stories-marine-conservation-success,"This study systematically evaluates the successful human stewardship in managing marine protected areas to provide useful lessons for future marine conservation actions.
",Goal 13: Climate action; Goal 14: Life below water; Goal 17: Partnership for the goals,"Rapid deterioration of marine habitats and biodiversity under cumulative stressors have led to increased efforts to rebuild marine life. Yet, successes of such endeavors do not have prominent visibility in recent assessments, although these examples are particularly needed in guiding future actions to achieve our shared aspiration of a healthy ocean. Here, we provide a comprehensive assessment of 217 verified marine conservation successes across the world’s oceans and the main traits involved. Our findings reveal a balanced geography of success across the world’s oceans and that human stewardship is essential for driving conservation success, especially when different stakeholders work together in rebuilding marine life. This assessment should inform future actions and build confidence that reversing the trajectory of loss towards repairing ocean health is feasible. It also provides a basis for a “learning by doing” approach in guiding conservation success through an understanding of the levers for success versus failure.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Hepatitis C mortality trends in Mexico from 2001 to 2017,/articles/hepatitis-c-mortality-trends-mexico-2001-2017,"This article aligns with the SDG goal 3 of Good health and wellbeing and SDG 10 Reduced inequalities by showing that hepatitis C mortality trends in Mexico have started to decrease, but that much remains to be done in terms of prevention, diagnosis and timely access to treatment in this country.
",Goal 3: Good health and well-being; Goal 10: Reduced inequalities,"Introduction and Objectives: We aimed to analyze the trends of total and sex-stratified mortality from hepatitis C virus (HCV) and to estimate the proportion of non-alcoholic liver disease deaths in Mexico attributable to HCV from 2001-2017. Materials and Methods: Using the mortality multiple-cause dataset, we selected the codes for acute HCV and chronic HCV to analyze trends from 2001 to 2017. We then estimated the proportion of HCV-related deaths out of non-alcoholic chronic liver disease deaths, by including in the denominator: other acute and chronic viral hepatitis, malignant neoplasm of the liver, liver failure, chronic hepatitis, fibrosis, and cirrhosis of the liver, and other inflammatory diseases of the liver. Average percent change (APC) for trends, overall and by sex, were estimated using Joinpoint regression. Results: The trend in crude mortality rate significantly increased from 2001-2005 (APC 18.4%; 95%CI=12.5, 24.5; p value<0.001), and then significantly decreased from 2013-2017 (APC -6.5%; 95%CI=-10.1, -2.9; p value<0.001). Stratified by sex women experienced a more rapid decline in the 2014-2017 period than men. Conclusions: HCV mortality seems to have started to decrease, but much remains to be done in terms of prevention, diagnosis, and timely access to treatment.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Keeping the Employee Experience Bright Amid AI and a Stormy Labor Market,/articles/keeping-employee-experience-bright-amid-ai-and-stormy-labor-market,"With AI-driven labor market transformations being affected by economic troubles and other factors, this article explores the strategies leaders are using to help workers navigate these changes. Specifically, leaders are stepping up investing in at least four strategies to prepare workers for the prevailing disruption and empower them to successfully navigate the change while ensuring healthy work cultures and compelling work opportunities for all.",Goal 8: Decent work and economic growth,"There is no doubt that AI is moving in, and moving some employees out in the process. According to CEO Arvind Krishna, hiring at IBM will be paused in the coming years for roles the company thinks could be replaced with artificial intelligence as automation replaces about 7,800 non-customer-facing jobs impacting about 26,000 employees.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burrowing behaviour of soft-shell clams (Mya arenaria) following human disturbance,/articles/burrowing-behaviour-soft-shell-clams-mya-arenaria-following-human-disturbance,"This study provides a better understanding of the burrowing behaviour of the sub-legal size clams discarded on the sediment after being disturbed and contributes important data to improve practices for minimizing mortality of dislodged clams that are discarded on the sediment surface.
",Goal 12: Responsible consumption and production; Goal 14: Life below water; Goal 15: Life on land,"The soft-shell clam, Mya arenaria, is an endobenthic marine bivalve species that is abundant in the intertidal and shallow-subtidal zones of eastern Canadian and New England shores. In these coastal environments, clams are subjected to both natural and anthropogenic disturbances that can result in dislodgement from the sediment. This is especially relevant for harvested clam species that are managed by a legal size limit. Herein, live clams that are too small to be retained by harvesters are discarded back onto the sediment surface. These clams must reburrow in order to survive; however, the reburrowing behaviour of these clams after being disturbed is not well known. To fill this knowledge gap, a series of five field trials were conducted in Kouchibouguac National Park, New Brunswick, Canada, during the summer and fall of 2021 to measure reburrowing rates of discarded sub-legal sized (<50 mm) soft-shell clams. Three size groups (20–30, 31–40, and 41–50 mm) of soft-shell clams were excavated and returned to the sediment surface at three different tidal levels inside protective enclosures during low tide for each trial. Time to initiate and complete reburrowing was subsequently observed over a 24 h (h) period. Results showed that reburrowing time was not affected by size class; however, reburrowing time was affected by tidal level, site, and trial. Results suggest that disturbed clams discarded onto submerged sediment surfaces (tidal levels 2 and 3) reburrow quicker than those discarded onto air-exposed sediment (tidal level 1). Reburrowing rates of subtidally-discarded clams were faster during the first three months of the study (June–August) compared to rates observed in the September trials. Comparing reburrowing rates to environmental conditions during the trials suggested that decreasing salinity in September likely drove the slower reburrowing rates compared to rates observed earlier in the season; decreasing temperatures may also have had some influence. These findings suggest that discarding sub-legal sized clams onto submerged sediment will increase the probability of clam survival via faster reburrowing, and that environmental conditions at the time of discard can affect reburrowing rates.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Social life cycle assessment of innovative management schemes for challenging plastics waste,/articles/social-life-cycle-assessment-innovative-management-schemes-challenging-plastics-waste,"Results from this study contribute to define a complete set of environmental and social data and information, which can help European decision makers to define new criteria for sustainable management of the waste plastics of interest. A new methodological approach has been proposed: it appears able to be applied in future research projects involving innovative management options.","Goal 12: Responsible consumption and production; Goal 15: Life on land; Goal 9: Industry, innovation and infrastructure","The focus is on current and innovative management schemes of plastics waste coming from electric and electronic equipment, end-of-life vehicles, and construction and demolition waste. Their complex compositions, due to the presence of several polymers, different (also hazardous) additives, and non-plastics fractions, make difficult finding sustainable management options. The study aimed at an assessment of social performances of current management schemes for these challenging plastics, compared with those of alternative schemes, including advanced innovative process options (dissolution/precipitation, supercritical fluid extraction with CO2, catalytic pyrolysis). A social life cycle assessment was developed at European level, by also exploiting synergies with parallel environmental analyses. The results indicated that innovative solutions could lead to good performances for human health of workers, but also for improvement of economies of local communities and society. The still limited maturity of proposed technologies would require a sufficiently long period of economic incentives to demonstrate process validity in the recovery of polymers, suitable to be accepted by the market. Accordingly, the estimated potential social effects should be further studied when the proposed innovative processes will be implemented at larger scale, to include aspects strictly related to the behaviour of a specific company going beyond the single process. Results contribute to define a complete set of environmental and social data and information, which can help European decision makers to define new criteria for sustainable management of the waste plastics of interest.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
